web-scraper-order,web-scraper-start-url,tiltle,date,Sourse,link,link-href,key_words,whole_text,first_source,first_source-href,second_sourse,second_sourse-href,third_source,third_source-href
"1625069169-478","https://www.politifact.com/factchecks/list/?page=4&category=coronavirus&ruling=pants-fire","Says businesses will give you free baby formula during the coronavirus outbreak.","stated on March 15, 2020 in a Facebook post:","Facebook posts","Says businesses will give you free baby formula during the coronavirus outbreak.","https://www.politifact.com/factchecks/2020/mar/23/facebook-posts/no-companies-arent-giving-out-free-baby-formula-du/","Facebook Fact-checks




Coronavirus







Facebook posts","","post","https://www.facebook.com/bobby.coy.946/posts/2605062826406481","A message to our Enfamil community regarding the coronavirus (COVID-19) outbreak, reinforcing our long-standing commitment to nourish the best start for our most important person, every baby, in all times","https://www.enfamil.com/coronavirus-FAQ?1234","An Important Message for the Gerber Community on COVID-19","http://news.gerber.com/news/an-important-message-for-the-gerber-community-on-covid-19"
"1625069509-577","https://www.politifact.com/factchecks/list/?page=1&category=coronavirus&ruling=pants-fire","The $1.9 trillion COVID-19 relief bill ""awards a $25 million bonus"" to House members.","stated on March 7, 2021 in a Facebook post:","Facebook posts","The $1.9 trillion COVID-19 relief bill ""awards a $25 million bonus"" to House members.","https://www.politifact.com/factchecks/2021/mar/11/facebook-posts/stimulus-bill-bestows-25-million-bonus-house-membe/","Congress




Federal Budget




Facebook Fact-checks




Coronavirus







Facebook posts","","post","https://www.facebook.com/photo.php?fbid=247715950398831&set=a.105707491266345&type=3","H.R.1319","https://www.congress.gov/117/bills/hr1319/BILLS-117hr1319eas.pdf","""House members were not given bonuses in $1.9T COVID bill,""","https://apnews.com/article/fact-checking-afs:Content:9989035329?fbclid=IwAR3eb_xRHlsUX3q1Ehyei_mxZa2Ul0I_kCNZEe_R5sC7TVR7L8SeMuMW3UA"
"1625069270-509","https://www.politifact.com/factchecks/list/?page=3&category=coronavirus&ruling=pants-fire","The government must have planned the coronavirus pandemic because the coronavirus relief bill had been introduced three years earlier.","stated on April 26, 2020 in on social media:","Facebook posts","The government must have planned the coronavirus pandemic because the coronavirus relief bill had been introduced three years earlier.","https://www.politifact.com/factchecks/2020/apr/27/facebook-posts/early-date-cares-act-due-legislative-quirk-not-plo/","Congress




Facebook Fact-checks




Coronavirus







Facebook posts","Early date on CARES Act is due to a legislative quirk, not a plot




If Your Time is short



• The introduction date of the legislation that ultimately became the CARES Act doesn’t signify anything about when the government knew about the coronavirus pandemic.
• Tax-related bills need to originate in the House. But to speed the passage of coronavirus relief, the senators who drew up the CARES Act used a common workaround by which they stripped out the text of an existing House-passed bill and inserted the new text into it. 
• The House bill they used was introduced in 2019, and was unrelated to the coronavirus. The post misstated the introduction date.



See the sources for this fact-check




The coronavirus pandemic has generated a torrent of conspiracy theories. One of them is that the U.S. government somehow planned the pandemic.
An April 26 Facebook post sought to prove its case by showing a screenshot of a Wikipedia-like page describing the Coronavirus Aid, Relief, and Economic Security Act, more commonly known as the CARES Act. 
The $2.2 trillion act, which was signed into law on March 27, 2020, included direct payments to most Americans, enhanced unemployment aid, loans for small business and other relief measures.
The page captured in the screenshot lists the bill as having been introduced on Jan. 24, 2017. That’s more than three years before the novel coronavirus was declared a pandemic, which the post cites as evidence that the pandemic was a long-planned event.
The poster added the comment, ""Clearly a PLAN-DEMIC. Guess what they have planned next for you. Hint — None of it is in your best interest. Hint 2 — It's much worse than you could ever imagine.""
This post was flagged as part of Facebook’s efforts to combat false news and misinformation on its News Feed. (Read more about our partnership with Facebook.) 
In reality, there’s a mundane explanation for why the bill was introduced well before the pandemic itself, and it has nothing to do with a government plot. But explaining it requires a short lesson in constitutional law and how Congress works.
Article I, Section 7 of the Constitution says that bills related to raising revenue must originate in the House of Representatives before moving to the Senate for consideration.
Sometimes, lawmakers decide that revenue-related legislation must pass urgently, and the shortest path is to skip the normal House-to-Senate process.
That was the case with the CARES Act. 

Featured Fact-check
















Viral image


stated on June 1, 2021 in a Facebook post








“U.S. military arrests Dr. Deborah Birx.”












By Ciara O'Rourke • June 2, 2021







While the Democratic House majority did offer a version of the bill, negotiators from the White House and the Senate were already deep into talks about what should be in the bill. When the Senate came up with a version of the bill that the leaders in both parties could support, they drew up the legislative text to be voted on.
However, because of the constitutional rule on tax-related bills, the senators didn’t create a new Senate bill. Instead, they took an existing bill that had been passed by the House but not by the Senate. The Senate stripped out the language, inserted the new CARES Act wording into the shell, and voted on it. It passed unanimously, and was later passed by the House and signed by President Donald Trump.
What the Senate did is a ""commonly used workaround,"" said Gregory Koger, a University of Miami political scientist who specializes in legislative procedure.
The original House bill had been to repeal the ""Cadillac tax"" on high-cost insurance plans, which was part of President Barack Obama’s Affordable Care Act. It was introduced on Jan. 24, 2019, (not 2017, as the image in the post says) and easily passed the House on July 17, 2019, 419-6.
The bill never made it to a vote in the Senate, making the measure ripe for the picking when Senate leaders went looking for a House-passed measure where the CARES Act language could be swapped in. The bill that passed the Senate ""bears zero resemblance to the original bill,"" Koger said. And the introduction date signifies nothing about when the government knew of the coronavirus.
This same tactic was used in the subsequent coronavirus response bill that added more funding for small-business loans, said Donald R. Wolfensberger, director of the Congress Project at the Woodrow Wilson International Center for Scholars.
The process used to enact the CARES Act, Koger said, shows that ""the modern Congress often bears little resemblance to the ‘How a Bill Becomes a Law’ lessons"" people learn in school.
Our ruling
Facebook posts said the government must have planned the coronavirus pandemic because the coronavirus relief bill had been introduced three years earlier.
The introduction date cited in the post was off by two years, and the post is a misunderstanding of how the bill moved through Congress. 
Because of a constitutional requirement that tax-related bills originate in the House, the senators who drew up the CARES Act used a common workaround, stripping an existing House-passed bill of its old text and inserting the new text into it. 
So there’s nothing fishy about a coronavirus relief bill having been introduced prior to the pandemic’s emergence. The original text of the bill that eventually became the CARES Act was on an entirely different topic.
We rate the statement Pants on Fire.","Facebook post","https://www.facebook.com/photo.php?fbid=10156921524050178&set=a.10153704556055178&type=3","CARES Act","https://www.congress.gov/bill/116th-congress/house-bill/748","Article I, Section 7","https://constitution.congress.gov/browse/essay/artI_S7_C1_1_1/"
"1625069138-470","https://www.politifact.com/factchecks/list/?page=5&category=coronavirus&ruling=pants-fire","In South Florida “all children and adults must remain in their homes” due to coronavirus.","stated on March 13, 2020 in a Facebook post:","Facebook posts","In South Florida “all children and adults must remain in their homes” due to coronavirus.","https://www.politifact.com/factchecks/2020/mar/17/facebook-posts/fact-checking-false-claim-about-lockdowns-south-fl/","Florida




Facebook Fact-checks




Coronavirus







Facebook posts","Fact-checking a false claim about lockdowns in South Florida cities




If Your Time is short





Local governments have closed many facilities and limited gatherings due to coronavirus.


We looked at announcements from several major local governments in south Florida and found no complete lockdown announcements.


Gov. Ron DeSantis closed bars and nightclubs statewide.





See the sources for this fact-check




While many local governments in Florida have shuttered schools and recreational facilities, a Facebook post inflates the closures to suggest that city or county officials have banned people from leaving their homes in south Florida.
""At this time the coronavirus has now spread it throughout the West Palm Beach Dade County Broward County area,"" states the March 13 Facebook post, which is written as a long run-on sentence. ""All children and adults must remain in their homes we repeat this is a 24-hour shutdown city service announcement.""
The post then contradicts itself and states ""you and your family and your children are in danger if you remain in your homes.""
This post was flagged as part of Facebook’s efforts to combat false news and misinformation on its News Feed. (Read more about our partnership with Facebook.) That’s because it’s wrong.
""This directive certainly is NOT from Broward County government,"" county spokeswoman Kimberly Maroe said. 
Spokespersons for the city of West Palm Beach, Fort Lauderdale and Miami-Dade also told PolitiFact that they had issued no such warnings. 

Featured Fact-check
















Viral image


stated on June 1, 2021 in a Facebook post








“U.S. military arrests Dr. Deborah Birx.”












By Ciara O'Rourke • June 2, 2021







Broward had the highest number of cases in the state at 43, as of about noon March 17, followed by Miami-Dade with 32 and Palm Beach with nine. (Volusia also had nine.)
Statewide, Florida had 192 COVID-19 cases. The state has a population of about 21 million.
We looked at announcements from the city of West Palm Beach, Fort Lauderdale, Broward County and Miami Dade County and found that they have closed many recreational facilities and taken other steps to reduce large gatherings, but none banned people from leaving their homes.
Miami-Dade County’s order March 17 made it clear that grocery stores, pharmacies and gas stations remain open.
Gov. Ron DeSantis issued an order March 17 closing all bars and nightclubs statewide for 30 days and restaurants are now required to limit customer entry to 50% of capacity. (Some local governments had already announced rules related to restaurants designed to steer business toward take-out.)
As for this Facebook warning, we rate it Pants on Fire.","Update on coronavirus","https://www.fortlauderdale.gov/Home/Components/News/News/4074/16?backlist=%2f","COVID-19 update #11","https://www.wpb.org/our-city/mayor-s-office/covid-19-updates-and-information","Emergency order","https://www.miamidade.gov/information/library/coronavirus-emergency-order-03-20-food-service.pdf"
"1625069398-545","https://www.politifact.com/factchecks/list/?page=2&category=coronavirus&ruling=pants-fire","“Covid-19 means ‘certificate of identification of vaccination with artificial intelligence.’”","stated on August 27, 2020 in a Facebook post:","Viral image","“Covid-19 means ‘certificate of identification of vaccination with artificial intelligence.’”","https://www.politifact.com/factchecks/2020/sep/02/viral-image/covid-19-still-stands-coronavirus-disease-2019/","Facebook Fact-checks




Coronavirus







Viral image","","post","https://archive.is/KeXLH","COVID stands for coronavirus disease 2019","https://www.politifact.com/factchecks/2020/mar/30/viral-image/covid-stands-coronavirus-disease-2019/","a new Facebook post","https://archive.is/KeXLH"
"1625069078-453","https://www.politifact.com/factchecks/list/?page=5&category=coronavirus&ruling=pants-fire","""CORONAVIRUS: Reports of 10,000 DEAD in Wuhan, China.""","stated on January 24, 2020 in a website post:","Facebook posts","""CORONAVIRUS: Reports of 10,000 DEAD in Wuhan, China.""","https://www.politifact.com/factchecks/2020/jan/28/facebook-posts/claim-reports-10000-dead-wuhan-coronavirus-pants-f/","China




Public Health




Facebook Fact-checks




Coronavirus







Facebook posts","Claim that 10,000 have died from Wuhan coronavirus is Pants on Fire




A claim circulating on Facebook suggests a coronavirus outbreak roughly 100 times more deadly than authorities and the news media are letting on.
""CORONAVIRUS: Reports of 10,000 DEAD in Wuhan, China,"" reads a Jan. 24 story from the Geller Report. The website is run by Pamela Geller, an activist who co-founded Stop Islamization of America, a far-right group.
This is just one of many false statements circulating on social media at what appears to be a break-neck pace – far faster than the spread of the health threat itself.
This latest post was flagged as part of Facebook’s efforts to combat false news and misinformation on its News Feed. (Read more about our partnership with Facebook.)
First, the Geller Report article is questionably sourced. It says that a guy named Bill Holter heard from a friend named Robert who heard from an American friend who heard from a Chinese friend who has relatives in Wuhan that ""there may already be ~10,000 dead there from the virus.""
But here’s what we know from credible sources about the Wuhan coronavirus:
According to a Jan. 26 report from the World Health Organization, more than 2,000 people have contracted the virus, the vast majority of whom live in China. More than 100 people in the United States are being evaluated for possible infection. According to the New York Times, 81 people have died, all of them in China.
The figure of 81 deaths was also reported by CBS News and other media.

Featured Fact-check
















Instagram posts


stated on June 2, 2021 in an Instagram post








An email from Dr. Anthony Fauci shows ""everyone was lied to"" about wearing masks to prevent the spread of COVID-19.












By Tom Kertscher • June 2, 2021







As of 7 p.m. Eastern on Jan. 27, the figure reported by Johns Hopkins University, which is mapping the virus, was 82
However, as we were putting this fact-check together, Agence France-Presse, in a report carried by CBS, said the death toll, according to Chinese authorities, had reached 106. 
The South China Morning Post also reported the 106 figure and attributed it to Chinese authorities. 
So, while the death toll appears to be climbing, the Geller Report story is way, way off.
Our ruling
A claim circulating on Facebook says: ""CORONAVIRUS: Reports of 10,000 DEAD in Wuhan, China.""
There is nothing but mostly anonymous hearsay to back it up.
Credible news and university reports put the death toll at a tiny fraction of what is claimed — 106 as of the evening of Jan. 27.
We rate the statement Pants on Fire!","""CORONAVIRUS: Reports of 10,000 DEAD in Wuhan, China,""","https://gellerreport.com/2020/01/coronavirus-death-toll.html/?fbclid=IwAR3MwXJWV7OLJgrKCOnd9ZMdspDHUdsB8HAlZ6XzH5s16qdP_kkzGSE1LkE","""Fact-checking hoaxes and conspiracies about the coronavirus,""","https://www.politifact.com/facebook-fact-checks/article/2020/jan/24/fact-checking-hoaxes-and-conspiracies-about-corona/","one of many false statements","https://www.politifact.com/facebook-fact-checks/article/2020/jan/24/fact-checking-hoaxes-and-conspiracies-about-corona/"
"1625069285-513","https://www.politifact.com/factchecks/list/?page=3&category=coronavirus&ruling=pants-fire","“Governor Andy Beshear has authorized Kentucky teachers to make in-home visits. With parental approval, teachers will inspect the bedroom of each student currently enrolled in K-8.”","stated on April 29, 2020 in a Facebook post:","Viral image","“Governor Andy Beshear has authorized Kentucky teachers to make in-home visits. With parental approval, teachers will inspect the bedroom of each student currently enrolled in K-8.”","https://www.politifact.com/factchecks/2020/may/06/viral-image/no-kentucky-teachers-wont-be-conducting-student-be/","Facebook Fact-checks




Coronavirus







Viral image","","post","https://www.facebook.com/photo.php?fbid=239550293775797&set=a.104686207262207&type=3&theater","Don’t worry parents, the Kentucky Dept. of Ed won’t ‘inspect’ your kid’s bedroom","https://www.courier-journal.com/story/news/education/2020/04/25/coronavirus-hoax-kentucky-teachers-not-inspecting-students-bedrooms/3028768001/","partnership with Facebook","https://www.facebook.com/help/1952307158131536?helpref=related"
"1625069548-588","https://www.politifact.com/factchecks/list/?page=1&category=coronavirus&ruling=pants-fire","A leaked email from a Liberal Party politician shows the Canadian government's plan to “reset” the economy and seize private property.","stated on October 14, 2020 in Facebook posts:","Facebook posts","A leaked email from a Liberal Party politician shows the Canadian government's plan to “reset” the economy and seize private property.","https://www.politifact.com/factchecks/2021/apr/29/facebook-posts/no-evidence-leaked-email-canadian-politician-authe/","Facebook Fact-checks




Coronavirus







Facebook posts","","post","https://archive.is/wWk8N#selection-805.1-808.0","null","","null",""
"1625069527-582","https://www.politifact.com/factchecks/list/?page=1&category=coronavirus&ruling=pants-fire","“Jamaica has not recorded any case of the coronavirus.”","stated on March 19, 2021 in a Facebook post:","Viral image","“Jamaica has not recorded any case of the coronavirus.”","https://www.politifact.com/factchecks/2021/mar/22/viral-image/jamaica-has-had-thousands-covid-19-cases-and-hundr/","Facebook Fact-checks




Coronavirus







Viral image","","post","https://archive.is/6XvIY","Jamaica","https://coronavirus.jhu.edu/region/jamaica","According to Johns Hopkins University of Medicine","https://coronavirus.jhu.edu/region/jamaica"
"1625069133-468","https://www.politifact.com/factchecks/list/?page=5&category=coronavirus&ruling=pants-fire","“Coronavirus — 22. Clintons — 39.”","stated on March 9, 2020 in a Facebook post:","Facebook posts","“Coronavirus — 22. Clintons — 39.”","https://www.politifact.com/factchecks/2020/mar/16/facebook-posts/no-clintons-arent-responsible-more-deaths-coronavi/","Fake news




Public Health




Facebook Fact-checks




Coronavirus







Facebook posts","","post","https://web.archive.org/web/20200316162109/https://www.facebook.com/clarkecars/posts/10220321205968002","""Coronavirus disease 2019 (COVID-19) Situation Report – 55,""","https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200315-sitrep-55-covid-19.pdf?sfvrsn=33daa5cb_8","image posted to Facebook","https://web.archive.org/web/20200316162109/https://www.facebook.com/clarkecars/posts/10220321205968002"
"1625069276-511","https://www.politifact.com/factchecks/list/?page=3&category=coronavirus&ruling=pants-fire","“Pelosi was in (Wuhan) China 6 days after the impeachment HOAX failed.”","stated on April 22, 2020 in a Facebook post:","Facebook posts","“Pelosi was in (Wuhan) China 6 days after the impeachment HOAX failed.”","https://www.politifact.com/factchecks/2020/apr/30/facebook-posts/ridiculous-claim-pelosi-flew-wuhan-china-after-imp/","California




Coronavirus







Facebook posts","The ridiculous claim that Pelosi flew to Wuhan, China, after impeachment failed




If Your Time is short





Pelosi last visited China in November 2015, according to official records.





See the sources for this fact-check




A social media post viewed nearly 300,000 times tries to make an absurd connection between Wuhan, China, the coronavirus, the impeachment of Donald Trump and Nancy Pelosi.
""Pelosi was in Wouhan China 6 days after the impeachment HOAX failed. Has anyone bothered to find out what she was doing there?"" (Yes, the Facebook post spells the city Wuhan wrong.)
This post was flagged as part of Facebook’s efforts to combat false news and misinformation on its News Feed. For good reason. 
RELATED: All of our fact-checks about COVID-19
The Facebook post has no particular date for when it says the ""impeachment hoax failed."" The Senate voted to acquit Trump Feb. 5, two weeks after Chinese officials instituted travel bans in Wuhan. Alternate versions of the false attack on social media have stated that Pelosi was in Wuhan in November.

Featured Fact-check
















Viral image


stated on June 1, 2021 in a Facebook post








“U.S. military arrests Dr. Deborah Birx.”












By Ciara O'Rourke • June 2, 2021







Neither timeline is remotely accurate. House members file expenditure reports for all official foreign travel with the House clerk’s office. We searched reports for the fourth quarter of 2019 and the first quarter of 2020 and found no trips by Pelosi to China. (Pelosi traveled to Jordan and Afghanistan in October, Spain in December and Luxembourg and Belgium in December. She visited Poland and Israel in January and Germany and Belgium in February.)
Pelosi’s spokesman said her last visit to China was in November 2015 when she visited Beijing. The U.S. delegation and Chinese officials discussed climate change, protection of cyberspace, the proliferation of nuclear weapons, human and women’s rights, and other topics, according to a press release from Pelosi’s office.
Other false Facebook posts have included a photo of Pelosi shaking the hand of a Chinese official. Snopes and USA Today found that the photo was from Pelosi’s visit in November 2015 when she met with Chinese politician Zhang Dejiang, chairman of the Standing Committee of the National People's Congress.
RELATED: All of our fact-checks of or about Pelosi
Our ruling
A Facebook post said that Pelosi was in Wuhan, China, ""6 days after the impeachment HOAX failed.""
Travel records last show Pelosi in China in 2015. The rest of the post is Mad Libs for conspiracy theorists. This statement rates Pants on Fire!","Foreign Travel reports","http://clerk.house.gov/public_disc/foreign/index.aspx","Did Nancy Pelosi Visit Wuhan in November 2019?","https://www.snopes.com/fact-check/pelosi-wuhan-november/","Facebook’s efforts to combat false news and misinformation","https://www.facebook.com/help/1952307158131536?helpref=related"
"1625069184-482","https://www.politifact.com/factchecks/list/?page=4&category=coronavirus&ruling=pants-fire","“Boil some orange peels wit cayenne pepper in it stand over the pot breathe in the steam so all that mucus can release from yo nasal… MUCUS is the problem its where THE VIRUS LIVES!!!”","stated on March 22, 2020 in a Facebook post:","Facebook posts","“Boil some orange peels wit cayenne pepper in it stand over the pot breathe in the steam so all that mucus can release from yo nasal… MUCUS is the problem its where THE VIRUS LIVES!!!”","https://www.politifact.com/factchecks/2020/mar/25/facebook-posts/water-boiled-orange-peels-and-cayenne-pepper-will-/","Public Health




Facebook Fact-checks




Coronavirus







Facebook posts","","Infection prevention and control of epidemic in health care","https://apps.who.int/iris/bitstream/handle/10665/112656/9789241507134_eng.pdf?sequence=1","post","https://www.facebook.com/steven.earnest.925/posts/148194526661478","our partnership with Facebook","https://www.facebook.com/help/1952307158131536?helpref=related"
"1625069200-488","https://www.politifact.com/factchecks/list/?page=4&category=coronavirus&ruling=pants-fire","Says Italian Prime Minister Giuseppe Conte said, “We have lost control, we have killed the epidemic physically and mentally. Can’t understand what more we can do, all solutions are exhausted on ground. Our only hope remains up in the Sky, God rescue your people.”","stated on March 22, 2020 in a Facebook post:","Facebook posts","Says Italian Prime Minister Giuseppe Conte said, “We have lost control, we have killed the epidemic physically and mentally. Can’t understand what more we can do, all solutions are exhausted on ground. Our only hope remains up in the Sky, God rescue your people.”","https://www.politifact.com/factchecks/2020/apr/01/facebook-posts/fabricated-quote-falsely-attributed-italian-prime-/","Facebook Fact-checks




Coronavirus







Facebook posts","","Facebook post","https://www.facebook.com/photo.php?fbid=10214496572122685&set=a.4617092559943&type=3","tweet","https://twitter.com/GiuseppeConteIT/status/1239840415165157376","Article on poder360.com on Brazilian president Jair Bolsonaro","https://www.poder360.com.br/governo/bolsonaro-chora-ao-lembrar-de-facada-em-culto-evangelico-no-planalto/"
"1625069379-539","https://www.politifact.com/factchecks/list/?page=2&category=coronavirus&ruling=pants-fire","Photo shows “Dr. Fauci, Melinda Gates and Barack Obama at the Wuhan Lab in 2015.”","stated on July 14, 2020 in a Facebook post:","Viral image","Photo shows “Dr. Fauci, Melinda Gates and Barack Obama at the Wuhan Lab in 2015.”","https://www.politifact.com/factchecks/2020/jul/16/viral-image/no-photo-doesnt-show-fauci-and-obama-wuhan/","Facebook Fact-checks




Coronavirus







Viral image","","post","https://archive.fo/d5VmD","Obama administration did not provide $3.8 million to Wuhan virology lab","https://www.politifact.com/factchecks/2020/apr/30/blog-posting/obama-administration-did-not-provide-38-million-wu/","partnership with Facebook","https://www.facebook.com/help/1952307158131536?helpref=related"
"1625069223-495","https://www.politifact.com/factchecks/list/?page=4&category=coronavirus&ruling=pants-fire","“Now, they’re doing tests on airlines — very strong tests — for getting on, getting off. They’re doing tests on trains — getting on, getting off.”","stated on April 1, 2020 in in a White House briefing:","Donald Trump","“Now, they’re doing tests on airlines — very strong tests — for getting on, getting off. They’re doing tests on trains — getting on, getting off.”","https://www.politifact.com/factchecks/2020/apr/06/donald-trump/donald-trump-wrong-about-covid-19-testing-airplane/","Coronavirus







Donald Trump","Donald Trump wrong about COVID-19 testing on airplanes, trains




If Your Time is short





The CDC is not testing passengers for COVID-19 as they get on or off airplanes and trains.


The federal government is screening certain passengers at 13 airports.


Screening can include looking for symptoms, but it’s not the same as a test.





See the sources for this fact-check




President Donald Trump said he was considering whether to stop domestic travel between U.S. hotspots for COVID-19.
As he explained his reluctance to harm the transportation industry, Trump inaccurately said airline and train passengers were already being tested for the disease.
""We have to get our country back, we have to start moving again, we have to start working again,"" Trump said April 1. ""Now, they’re doing tests on airlines — very strong tests — for getting on, getting off. They’re doing tests on trains — getting on, getting off. But when you start closing up entire transportation systems and then opening them up, that’s a very tough thing to do.""
We asked the White House for evidence and did not get a response.
The Centers for Disease Control and Prevention told us it is not testing passengers at airports or train stations, a spokesperson told PolitiFact.
It’s possible that Trump was referring to screening of passengers, which is happening at 13 airports for international flights. That isn’t the same as testing.
Screening someone for symptoms can flag someone who could potentially have COVID-19, but it’s not as definitive as a test. It is impractical to test passengers at airports and train stations, given the slow delivery of most results and limited availability for people with symptoms.
The CDC screening includes a temperature and symptoms check for travelers coming from foreign countries. 
Airport screenings for some international travel began earlier in the crisis. The CDC announced Jan. 17 it would screen passengers from Wuhan, China, for COVID-19 at the San Francisco, New York and Los Angeles airports. The screenings have expanded to include 13 airports, including Miami, Chicago, Detroit and Boston. They primarily affect American citizens, legal permanent residents and their immediate families who have recently been in China, Iran, or certain European countries. 

Featured Fact-check
















Viral image


stated on June 1, 2021 in a Facebook post








“U.S. military arrests Dr. Deborah Birx.”












By Ciara O'Rourke • June 2, 2021







Travelers returning from international travel are advised to stay home for 14 days, monitor their health, and practice social distancing.
Some states have implemented their own screening practices, with mixed results. In Florida, Gov. Ron DeSantis ordered screening (not testing) at Florida airports for passengers from New York, New Jersey and Connecticut. Shortly after, some passengers told the Sun Sentinel that their temperatures were not taken and they saw no visible signs of screening. 
In Broward County, officials are collecting forms from passengers on certain flights from the New York tri-state area, said Greg Meyer, a spokesman for the Fort Lauderdale-Hollywood International Airport.
Representatives for airports in Chicago, Philadelphia and Detroit said passengers were not taking tests as they board or exit airplanes.
""Screening may occur in airports, but testing does not,"" said Florence Brown, a spokeswoman for the airport in Philadelphia. 
U.S. Customs and Border Protection agents are screening international travelers for visible signs of illness, such as coughing or having difficulty breathing, Brown said. International passengers from countries affected by COVID-19 may also receive a printed guide from the CDC.
We contacted spokespersons for multiple airlines and did not get a response. We did not hear back from Amtrak by deadline.
Our ruling
Trump said, ""Now, they’re doing tests on airlines — very strong tests — for getting on, getting off.  They’re doing tests on trains — getting on, getting off.""
Passengers on planes and trains are not being tested for COVID-19. It’s possible that Trump was referring to screenings, which could include a temperature check or a questionnaire. But even screenings are not as widespread as he said; they are happening at 13 airports for certain countries.
Trump's statement about ""very strong tests"" at transportation hubs rates Pants on Fire.","Vice President Pence, and Members of the Coronavirus Task Force in Press Briefing","https://www.whitehouse.gov/briefings-statements/remarks-president-trump-vice-president-pence-members-coronavirus-task-force-press-briefing-16/","Fact check: Trump falsely claims plane and train passengers are being tested for the coronavirus","https://www.cnn.com/2020/04/02/politics/fact-check-trump-plane-and-train-passengers-tested-for-the-coronavirus/index.html","April 1","https://www.whitehouse.gov/briefings-statements/remarks-president-trump-vice-president-pence-members-coronavirus-task-force-press-briefing-16/"
"1625069382-540","https://www.politifact.com/factchecks/list/?page=2&category=coronavirus&ruling=pants-fire","“You must apply to get your second stimulus check! I’ve already filed for mine and will be receiving $2,000 a month for the rest of the year.”","stated on July 14, 2020 in a Facebook post:","Facebook posts","“You must apply to get your second stimulus check! I’ve already filed for mine and will be receiving $2,000 a month for the rest of the year.”","https://www.politifact.com/factchecks/2020/jul/16/facebook-posts/dont-fall-hoax-about-monthly-stimulus-checks/","Facebook Fact-checks




Coronavirus







Facebook posts","","post","https://www.facebook.com/photo.php?fbid=964725453952338&set=a.120549388369953&type=3","No, FEMA isn’t giving Americans $1,000","https://www.politifact.com/factchecks/2020/jul/15/facebook-posts/no-fema-isnt-giving-americans-1000/","Who would get a second stimulus check — and who wouldn’t?","https://www.cbsnews.com/news/who-would-get-a-second-stimulus-check-and-who-wouldnt/"
"1625069083-454","https://www.politifact.com/factchecks/list/?page=5&category=coronavirus&ruling=pants-fire","Says drinking a bleach solution will prevent you from getting the coronavirus.","stated on January 28, 2020 in a tweet:","Tweets","Says drinking a bleach solution will prevent you from getting the coronavirus.","https://www.politifact.com/factchecks/2020/jan/30/tweets/no-drinking-bleach-will-not-ward-coronavirus/","Consumer Safety




Fake news




Public Health




Facebook Fact-checks




Coronavirus







Tweets","","Chief Police 2 tweet","https://twitter.com/chiefpolice2/status/1222257165966041088","Coronavirus Live Updates: Emergency Declaration Is Considered as Toll Rises","https://www.nytimes.com/2020/01/30/world/asia/coronavirus-china.html","a Jan. 28 tweet","https://twitter.com/chiefpolice2/status/1222257165966041088"
"1625069349-531","https://www.politifact.com/factchecks/list/?page=3&category=coronavirus&ruling=pants-fire","Says Gov. Tony Evers “removed the American flag from the Capitol building”","stated on June 12, 2020 in a Facebook post:","Facebook posts","Says Gov. Tony Evers “removed the American flag from the Capitol building”","https://www.politifact.com/factchecks/2020/jun/29/facebook-posts/claim-tony-evers-ordered-us-flag-removed-ridiculou/","States




Wisconsin




Coronavirus







Facebook posts","","null","","Facebook post","https://docs.legis.wisconsin.gov/2019/related/session_calendar/calendar","June 12, 2020","https://www.facebook.com/photo.php?fbid=581827499191060&set=a.106986493341832&type=3&theater"
